201B19@juetguna.in,201B191@jueguna.in,8,29
201B214@juetguna.in,201B101@jueguna.in,23,15
201B281@juetguna.in,201B69@jueguna.in,7,27
201B281@juetguna.in,201B184@jueguna.in,12,38
201B256@juetguna.in,201B180@jueguna.in,28,39
201B24@juetguna.in,201B258@jueguna.in,12,12
201B284@juetguna.in,201B44@jueguna.in,34,3
201B261@juetguna.in,201B178@jueguna.in,13,7
201B98@juetguna.in,201B122@jueguna.in,27,1
201B227@juetguna.in,201B207@jueguna.in,29,15
201B249@juetguna.in,201B31@jueguna.in,2,4
201B198@juetguna.in,201B56@jueguna.in,21,9
201B50@juetguna.in,201B60@jueguna.in,7,9
201B52@juetguna.in,201B97@jueguna.in,18,18
201B300@juetguna.in,201B220@jueguna.in,22,7
201B7@juetguna.in,201B100@jueguna.in,30,2
201B205@juetguna.in,201B155@jueguna.in,11,28
201B137@juetguna.in,201B266@jueguna.in,2,12
201B90@juetguna.in,201B23@jueguna.in,8,30
201B233@juetguna.in,201B232@jueguna.in,13,23
201B178@juetguna.in,201B253@jueguna.in,8,17
201B40@juetguna.in,201B225@jueguna.in,4,19
201B15@juetguna.in,201B136@jueguna.in,37,25
201B299@juetguna.in,201B176@jueguna.in,24,34
201B270@juetguna.in,201B297@jueguna.in,29,8
201B230@juetguna.in,201B233@jueguna.in,32,17
201B176@juetguna.in,201B153@jueguna.in,34,35
201B163@juetguna.in,201B148@jueguna.in,36,24
201B17@juetguna.in,201B135@jueguna.in,14,20
201B209@juetguna.in,201B1@jueguna.in,9,16
201B261@juetguna.in,201B218@jueguna.in,3,35
201B115@juetguna.in,201B115@jueguna.in,2,25
201B240@juetguna.in,201B120@jueguna.in,39,13
201B127@juetguna.in,201B199@jueguna.in,8,34
201B180@juetguna.in,201B241@jueguna.in,33,35
201B96@juetguna.in,201B248@jueguna.in,15,9
201B26@juetguna.in,201B287@jueguna.in,31,4
201B29@juetguna.in,201B177@jueguna.in,11,32
201B152@juetguna.in,201B148@jueguna.in,28,22
201B247@juetguna.in,201B263@jueguna.in,18,1
201B63@juetguna.in,201B166@jueguna.in,24,21
201B256@juetguna.in,201B178@jueguna.in,39,7
201B253@juetguna.in,201B124@jueguna.in,19,0
201B268@juetguna.in,201B128@jueguna.in,9,3
201B211@juetguna.in,201B271@jueguna.in,25,16
201B106@juetguna.in,201B15@jueguna.in,1,2
201B28@juetguna.in,201B162@jueguna.in,24,21
201B79@juetguna.in,201B288@jueguna.in,37,39
201B258@juetguna.in,201B253@jueguna.in,39,21
201B140@juetguna.in,201B157@jueguna.in,31,21
201B226@juetguna.in,201B28@jueguna.in,38,28
201B72@juetguna.in,201B260@jueguna.in,4,36
201B193@juetguna.in,201B178@jueguna.in,20,27
201B181@juetguna.in,201B144@jueguna.in,18,18
201B72@juetguna.in,201B84@jueguna.in,25,13
201B25@juetguna.in,201B1@jueguna.in,21,27
201B8@juetguna.in,201B154@jueguna.in,29,0
201B60@juetguna.in,201B246@jueguna.in,12,7
201B299@juetguna.in,201B196@jueguna.in,37,33
201B55@juetguna.in,201B110@jueguna.in,30,29
201B252@juetguna.in,201B117@jueguna.in,37,34
201B258@juetguna.in,201B164@jueguna.in,15,10
201B255@juetguna.in,201B90@jueguna.in,36,15
201B201@juetguna.in,201B284@jueguna.in,21,20
201B16@juetguna.in,201B106@jueguna.in,4,34
201B188@juetguna.in,201B8@jueguna.in,16,7
201B90@juetguna.in,201B243@jueguna.in,3,16
201B229@juetguna.in,201B11@jueguna.in,6,37
201B238@juetguna.in,201B37@jueguna.in,12,21
201B25@juetguna.in,201B33@jueguna.in,19,11
201B169@juetguna.in,201B91@jueguna.in,5,12
